item_id,concept,weight
iir_1_1,boolean retriev model,1
iir_1_1,inform retriev,1
iir_1_1,invert file,1
iir_1_1,pattern match,1
iir_1_1,person inform,1
iir_1_1,linear scan document,1
iir_1_1,boolean express,1
iir_1_1,data structur,1
iir_1_1,ad hoc retriev,1
iir_1_1,document retriev,1
iir_1_1,fat book,1
iir_1_1,invert index,1
iir_1_2,home sale,1
iir_1_2,index construct,1
iir_1_2,schizophrenia,1
iir_1_2,data organ,1
iir_1_2,invert index structur,1
iir_1_2,fix length array,1
iir_1_2,text search,1
iir_1_2,ad hoc text search,1
iir_1_2,queri process,1
iir_1_2,variabl length array,1
iir_1_2,post list,1
iir_1_2,hybrid scheme,1
iir_1_2,middl column,1
iir_1_2,document identifi,1
iir_1_2,boolean search engin,1
iir_1_2,document collect,1
iir_1_2,invert index represent,1
iir_1_2,document incid matrix,1
iir_1_2,figur digit,1
iir_1_2,data structur,1
iir_1_3,linear time linear,1
iir_1_3,time complex,1
iir_1_3,boolean retriev model,1
iir_1_3,disjunct normal form,1
iir_1_3,queri evalu,1
iir_1_3,intersect oper,1
iir_1_3,queri process,1
iir_1_3,distribut law,1
iir_1_3,boolean queri formula,1
iir_1_3,queri optim,1
iir_1_3,conjunct queri,1
iir_1_3,invert index,1
iir_1_4,extend boolean retriev model,1
iir_1_4,free text queri,1
iir_1_4,natur languag,1
iir_1_4,extend boolean model,1
iir_1_4,rank retriev model,1
iir_1_4,world wide web,1
iir_1_4,boolean oper,1
iir_1_4,oper system,1
iir_1_4,boolean logic,1
iir_1_4,boolean queri model,1
iir_1_4,legal search,1
iir_1_4,invert index,1
iir_1_4,term proxim oper,1
iir_1_4,vector space model,1
iir_1_4,web search engin,1
iir_1_4,unstructur search,1
iir_1_4,phrase search,1
iir_1_4,revers chronolog,1
iir_1_4,boolean search,1
iir_1_4,linear time merg,1
iir_1_4,boolean express,1
iir_1_4,ad hoc search,1
iir_1_4,queri optim,1
iir_2_2,subsect token drop common term stop,1
iir_2_2,token drop common term stop word,1
iir_2_2,vocabulari term,1
iir_2_2,equival class,1
iir_2_2,capit fold,1
iir_2_3,post list data structur,1
iir_2_3,post intersect,1
iir_2_3,post list intersect oper,1
iir_2_3,lower list,1
iir_2_3,data structur,1
iir_2_3,skip pointer,1
iir_2_3,skip list pointer,1
iir_2_3,invert index,1
