item_id,concept,weight
iir_1_1,matrix,1
iir_1_1,tobe,1
iir_1_1,book,1
iir_1_1,inform retriev,1
iir_1_1,pattern match,1
iir_1_1,collect,1
iir_1_1,process,1
iir_1_1,scenario,1
iir_1_1,pipelin,1
iir_1_1,brutu,1
iir_1_1,invert,1
iir_1_1,dictionari,1
iir_1_1,includ,1
iir_1_1,word,1
iir_1_1,index,1
iir_1_1,document,1
iir_1_1,million,1
iir_1_1,precis,1
iir_1_1,user,1
iir_1_1,data,1
iir_1_1,queri,1
iir_1_1,linear,1
iir_1_1,linearli,1
iir_1_1,size,1
iir_1_1,term,1
iir_1_1,model,1
iir_1_1,suppos,1
iir_1_2,length,1
iir_1_2,search,1
iir_1_2,time,1
iir_1_2,serial,1
iir_1_2,pointer,1
iir_1_2,column,1
iir_1_2,memori,1
iir_1_2,multipl,1
iir_1_2,sort,1
iir_1_2,preprocess,1
iir_1_2,index,1
iir_1_2,document,1
iir_1_2,success,1
iir_1_2,variabl,1
iir_1_2,retriev,1
iir_1_2,queri,1
iir_1_2,list,1
iir_1_2,array,1
iir_1_2,text,1
iir_1_2,occur,1
iir_1_2,structur,1
iir_1_2,effici,1
iir_1_2,requir,1
iir_1_3,term,1
iir_1_3,altern techniqu,1
iir_1_3,intermedi,1
iir_1_3,time,1
iir_1_3,intersect,1
iir_1_3,oper,1
iir_1_3,post,1
iir_1_3,process,1
iir_1_3,result,1
iir_1_3,locat,1
iir_1_3,merg,1
iir_1_3,docid,1
iir_1_3,boolean queri,1
iir_1_3,sort,1
iir_1_3,retriev,1
iir_1_3,index method,1
iir_1_3,complex,1
iir_1_3,list,1
iir_1_3,total,1
iir_1_4,rank retriev,1
iir_1_4,oper,1
iir_1_4,result,1
iir_1_4,chronolog,1
iir_1_4,call,1
iir_1_4,commerci inform,1
iir_1_4,boolean model,1
iir_1_4,web,1
iir_1_4,word,1
iir_1_4,addit,1
iir_1_4,document,1
iir_1_4,main,1
iir_1_4,basic,1
iir_1_4,user,1
iir_1_4,precis,1
iir_1_4,implement,1
iir_1_4,subscrib,1
iir_1_4,free,1
iir_1_4,search,1
iir_1_4,time,1
iir_1_4,perform,1
iir_1_4,legal,1
iir_1_4,effect,1
iir_1_4,care,1
iir_1_4,give,1
iir_1_4,index,1
iir_1_4,westlaw,1
iir_1_4,queri,1
iir_1_4,engin,1
iir_1_4,librarian,1
iir_1_4,term,1
iir_2_1,represent,1
iir_2_1,encod,1
iir_2_1,appear,1
iir_2_1,recal,1
iir_2_1,granular,1
iir_2_1,learn classif,1
iir_2_1,individu,1
iir_2_1,web,1
iir_2_1,modern,1
iir_2_1,unicod,1
iir_2_1,unit,1
iir_2_1,linguist,1
iir_2_1,document,1
iir_2_1,user,1
iir_2_1,complex,1
iir_2_1,linear,1
iir_2_1,email,1
iir_2_1,proxim,1
iir_2_1,undergo,1
iir_2_1,structur,1
iir_2_1,choic,1
iir_2_1,charact sequenc,1
iir_2_1,multipl,1
iir_2_1,post,1
iir_2_1,short vowel,1
iir_2_1,standard,1
iir_2_1,format,1
iir_2_1,file,1
iir_2_1,section,1
iir_2_1,decod,1
iir_2_1,handl,1
iir_2_1,index,1
iir_2_1,queri,1
iir_2_1,mention,1
iir_2_1,perceiv,1
iir_2_1,text,1
iir_2_1,term,1
iir_2_1,write,1
iir_2_2,syllabari,1
iir_2_2,split,1
iir_2_2,method,1
iir_2_2,short,1
iir_2_2,differ,1
iir_2_2,wangari,1
iir_2_2,strategi,1
iir_2_2,clef,1
iir_2_2,hyphen,1
iir_2_2,equival,1
iir_2_2,result,1
iir_2_2,consist,1
iir_2_2,correct,1
iir_2_2,japanes,1
iir_2_2,lowercas,1
iir_2_2,reduc,1
iir_2_2,rel,1
iir_2_2,bush,1
iir_2_2,unit,1
iir_2_2,word,1
iir_2_2,stem,1
iir_2_2,linguist,1
iir_2_2,porter,1
iir_2_2,instanc,1
iir_2_2,precis,1
iir_2_2,inflect,1
iir_2_2,commonli,1
iir_2_2,german write,1
iir_2_2,capit,1
iir_2_2,normal process,1
iir_2_2,lemmat,1
iir_2_2,relat,1
iir_2_2,gener,1
iir_2_2,peac,1
iir_2_2,search,1
iir_2_2,entir,1
iir_2_2,clitic,1
iir_2_2,form,1
iir_2_2,item,1
iir_2_2,standard,1
iir_2_2,effect,1
iir_2_2,compound,1
iir_2_2,languag,1
iir_2_2,section,1
iir_2_2,fairli,1
iir_2_2,index,1
iir_2_2,usual,1
iir_2_2,address,1
iir_2_2,harm,1
iir_2_2,stemmer,1
iir_2_2,stop,1
iir_2_2,term,1
iir_2_2,standardli,1
iir_2_2,vocabulari,1
iir_2_2,distinct,1
iir_2_2,correctli,1
iir_2_2,algorithm,1
iir_2_2,base,1
iir_2_2,spell,1
iir_2_2,type,1
iir_2_2,make,1
iir_2_2,increas,1
iir_2_2,token,1
iir_2_2,web,1
iir_2_2,includ,1
iir_2_2,special,1
iir_2_2,modern,1
iir_2_2,addit,1
iir_2_2,name,1
iir_2_2,document,1
iir_2_2,user,1
iir_2_2,occur,1
iir_2_2,fair,1
iir_2_2,compani,1
